"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","3.7","37.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","447.7","494.4"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Administración pública y servicios y actividades comunales y sociales","2024","266.8","174.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Sin clasificar","2024","0.3","6.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Total","2024","908.1","1079.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Agricultura","2024","364.7","517.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Manufacturas","2024","83.1","79.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Construcción","2024","5.2","52.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","4","16.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","284.6","283.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2024","166.2","125.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Sobre educado","Sin clasificar","2024","0.3","3.4"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Total","2024","204.6","164.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Agricultura","2024","13.4","13.8"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Manufacturas","2024","39.7","30.3"
