"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Q. Actividades de atención de la salud humana y de asistencia social","2025","37.4","38"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","R. Actividades artísticas, de entretenimiento y recreativas","2025","47","41"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","S. Otras actividades de servicios","2025","35.7","38.2"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","33.6","44.9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","U. Actividades de organizaciones y órganos extraterritoriales","2025","40","44.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","A. Agricultura; ganadería; silvicultura y pesca","2025","25.7","31.8"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","B. Explotación de minas y canteras","2025","43.9","46.1"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","C. Industrias manufactureras","2025","33.6","39.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","31.2","40.6"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","39.8","39.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","F. Construcción","2025","37","34.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","33.4","39.1"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","H. Transporte y almacenamiento","2025","36","41.4"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","J. Información y comunicaciones","2025","36.3","39.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","K. Actividades financieras y de seguros","2025","37.6","38.5"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","L. Actividades inmobiliarias","2025","34.4","38"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","M. Actividades profesionales, científicas y técnicas","2025","32.9","36"
"Ecuador","EFT - Encuesta Nacional de Empleo, Desempleo y Subempleo","N. Actividades de servicios administrativos y de apoyo","2025","26.2","40.9"
