"Área de referencia","Fuente","Tipo de hogar","Presencia de niños menores de 6 años","Año","Mujeres","Hombres"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Número de niños menores de 6 años: Total","2024","37.2","40.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Número de niños menores de 6 años: 0","2024","37.7","40.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Número de niños menores de 6 años: 1","2024","36.3","40.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Número de niños menores de 6 años: 2","2024","34.6","40.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Número de niños menores de 6 años: 3+","2024","34.2","39.9"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Presencia de niños menores de 6 años: Total","2016","36.6","40.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Presencia de niños menores de 6 años: Si","2016","35.8","39.4"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Presencia de niños menores de 6 años: No","2016","36.9","40.3"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Una persona","Presencia de niños menores de 6 años: Total","2016","39.8","41.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Una persona","Presencia de niños menores de 6 años: No","2016","39.8","41.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja sin hijos","Presencia de niños menores de 6 años: Total","2016","38.7","45.2"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja sin hijos","Presencia de niños menores de 6 años: No","2016","38.7","45.2"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Presencia de niños menores de 6 años: Total","2016","37.7","41.3"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Presencia de niños menores de 6 años: Si","2016","36","42.4"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Presencia de niños menores de 6 años: No","2016","38.4","40.7"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Presencia de niños menores de 6 años: Total","2016","35.5","40.9"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Presencia de niños menores de 6 años: Si","2016","35.8","37.4"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Presencia de niños menores de 6 años: No","2016","35.4","42.2"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Presencia de niños menores de 6 años: Total","2016","35.3","36.8"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Presencia de niños menores de 6 años: Si","2016","35.6","36.3"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Presencia de niños menores de 6 años: No","2016","35.1","37.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Número de niños menores de 6 años: Total","2016","36.6","40.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Número de niños menores de 6 años: 0","2016","36.9","40.3"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Número de niños menores de 6 años: 1","2016","35.6","39.9"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Número de niños menores de 6 años: 2","2016","36.6","36.4"
