"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Costa Rica","EFT - Encuesta Continua de Empleo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","106.8","10.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","U. Actividades de organizaciones y órganos extraterritoriales","2025",,"1.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","X. No clasificados en otra parte","2025","1.5","2.7"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","Total","2015","19.1","20.1"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","A. Agricultura; ganadería; silvicultura y pesca","2015","0","0.2"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","B. Explotación de minas y canteras","2015","0","0.1"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","C. Industrias manufactureras","2015","0.1","0.3"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2015","0","0.4"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2015","0","0.1"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","F. Construcción","2015","0.3","3.7"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2015","2","3"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","H. Transporte y almacenamiento","2015","0.7","1.1"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","I. Actividades de alojamiento y de servicio de comidas","2015","2.4","2"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","J. Información y comunicaciones","2015","0.4","0.5"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","K. Actividades financieras y de seguros","2015","2.3","1.3"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","L. Actividades inmobiliarias","2015","0.5","0.3"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","M. Actividades profesionales, científicas y técnicas","2015","1.9","1.6"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","N. Actividades de servicios administrativos y de apoyo","2015","0.8","1.6"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2015","1.1","1.9"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","P. Enseñanza","2015","1.2","0.2"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","Q. Actividades de atención de la salud humana y de asistencia social","2015","1","0.5"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","R. Actividades artísticas, de entretenimiento y recreativas","2015","0.4","0.7"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","S. Otras actividades de servicios","2015","0.7","0.5"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2015","3.2","0.1"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","X. No clasificados en otra parte","2015","0","0.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","Total","2025","2180.8","2959.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","A. Agricultura; ganadería; silvicultura y pesca","2025","21","317.9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","B. Explotación de minas y canteras","2025","1","5.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","C. Industrias manufactureras","2025","164.9","334.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","4.3","10.2"
